Lead #,Lead Type,Business Name,Category,City / Region,Country (Tier 1),Phone,Email (Primary),Email (Secondary),Website URL,Website Status,Quality Score (0-100),Quality Issues,Has Facebook,Notes
1,No Website,PGA Lawn care and Pressure washing,lawn care service Asheville NC,Asheville,United States,+1 828-260-3472,admin@pgalawncare.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://pgalawncare.com | FB: https://www.facebook.com/PGALandP
2,No Website,Black Zulu Lawn Care,lawn care service Asheville NC,Asheville,United States,+1 828-317-8547,blackzululawncare@gmail.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://nextdoor.com/pages/black-zulu-lawn-care | FB: https://www.facebook.com/Black-Zulu-Lawn-Care-636174413203713
3,No Website,Clear View Lawn Care Services LLC,lawn care service Asheville NC,Asheville,United States,+1 828-708-5372,javiertranquilino828@gmail.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://clearviewlawncareandlandscaping.com | FB: https://www.facebook.com/p/Clearview-Lawn-Care-Property-Maintenance-61551552638249
4,No Website,Evergreen Lawn Maintenance,landscaping Bozeman MT,Bozeman,United States,+1 406-599-9632,evergreenlawns@mail.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://www.bozemanlawncare.com | FB: https://www.facebook.com/EverGreenLawnMaint
5,No Website,Black eagle cleaning services,house cleaning Burlington VT,Burlington,United States,+1 802-363-4578,burvt@ecocleanearth.com,,,No website — found contact via web search,N/A,,No,Found via: https://www.vtcleaningservices.com
6,No Website,Cleaning With Meaning Vermont,house cleaning Burlington VT,Burlington,United States,+1 802-495-6909,lizzycleans246@gmail.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://www.vtcleaningservices.com | FB: https://www.facebook.com/groups/1859649567630715/posts/4346407895621524
7,No Website,Mike's Cleaning Services,house cleaning Burlington VT,Burlington,United States,+1 802-488-5796,admin@mrmikescleaningservicevt.com,hrtraven@mrmikescleaningservicevt.com,,No website — found contact via web search,N/A,,Yes,Found via: https://www.mrmikescleaningservicevt.com/about-us | FB: https://www.facebook.com/mrmikescleaningservice
8,No Website,BahamaShine Mobile Detailing,mobile car detailing Bend OR,Bend,United States,+1 541-788-5315,davidbennett1505@gmail.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://cardetailfinder.com/oregon/bend/bahamashine-mobile-detailing-bend-or | FB: https://www.facebook.com/groups/585835672658870/posts/1304260217483075
9,No Website,Dad's Auto Detailing,mobile car detailing Bend OR,Bend,United States,+1 541-728-6563,jamesdomings3@gmail.com,dads_detailing@yahoo.com,,No website — found contact via web search,N/A,,Yes,Found via: https://dadsmobiledetail.com | FB: https://www.facebook.com/p/Dads-Custom-Auto-Detailing-100063519248535
10,No Website,Bend Mobile Detailing,mobile car detailing Bend OR,Bend,United States,+1 541-977-1392,davidbennett1505@gmail.com,centraloregonautodetail@gmail.com,,No website — found contact via web search,N/A,,Yes,Found via: https://www.davidsdetailing.com | FB: https://www.facebook.com/groups/585835672658870/posts/1509341786974916
11,No Website,Dr Detail,mobile car detailing Bend OR,Bend,United States,+1 541-404-4457,info@drdetailsandiego.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://www.drdetailphd.com | FB: https://www.facebook.com/drdetail3114
12,No Website,Residential Services of Savannah,handyman Savannah GA,Savannah,United States,+1 912-507-8927,operations@homelandunitedconstruction.com,,,No website — found contact via web search,N/A,,Yes,Found via: https://www.mrhandyman.com/greater-savannah-and-hilton-head | FB: https://www.facebook.com/AHSSavannah/posts/thinking-about-new-floors-we-can-help-with-thatace-handyman-services-savannah-of/973196201892157
